step	avg_loss
0	0.22160597
1	0.19967957
2	0.1761816
3	0.18772277
4	0.19330734
5	0.19065075
6	0.16457804
7	0.17607123
8	0.1744724
9	0.17252436
10	0.1712942
11	0.17241575
12	0.16146821
13	0.17120895
14	0.16560325
15	0.16087838
16	0.15597837
17	0.1738173
18	0.14573522
19	0.15571679
20	0.1455554
21	0.15615429
22	0.14006002
23	0.1522983
24	0.13723047
25	0.1388397
26	0.1357701
27	0.13371405
28	0.13496245
29	0.1374926
30	0.12186319
31	0.14259128
32	0.1338606
33	0.1253617
34	0.12675329
35	0.12318304
36	0.13054958
37	0.12150393
38	0.11591785
39	0.109733105
40	0.117048204
41	0.12221152
42	0.10551177
43	0.11630742
44	0.1113562
45	0.101095974
46	0.10491629
47	0.10012917
48	0.10362807
49	0.103006065
50	0.09624447
51	0.10133007
52	0.09258198
53	0.09073207
54	0.088972464
55	0.0879187
56	0.08890538
57	0.08483727
58	0.085267454
59	0.08346725
60	0.08255889
61	0.070489906
62	0.07350649
63	0.07967767
64	0.078840636
65	0.071287915
66	0.06823769
67	0.0690842
68	0.067175865
69	0.0635458
70	0.06736806
71	0.061888456
72	0.06400337
73	0.058182377
74	0.063265555
75	0.05647431
76	0.054010466
77	0.056923464
78	0.053401124
79	0.05502323
80	0.0516636
81	0.052121457
82	0.050476387
83	0.050561935
84	0.05103552
85	0.048902698
86	0.047436923
87	0.04706263
88	0.04505598
89	0.045131933
90	0.0387694
91	0.044437405
92	0.039440878
93	0.04014347
94	0.03610394
95	0.040081274
96	0.037852462
97	0.0369163
98	0.03620193
99	0.037658066
